ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
13,Right,1,4.0,4133547331,2.4999999999999987
13,Right,2,4.0,3160056708,4.0
13,Right,3,4.0,2208926242,2.4999999999999982
13,Right,4,4.0,564805778,2.699999999999999
13,Right,5,4.0,2036977818,2.5999999999999988
13,Right,6,4.0,3063955178,2.799999999999999
13,Right,7,4.0,684630431,2.3999999999999986
13,Right,8,4.0,1238294358,2.699999999999999
13,Right,9,4.0,1978987024,2.4999999999999987
13,Right,10,4.0,1396242049,2.4999999999999987
13,Left,1,4.0,3617763621,1.9000000000000008
13,Left,2,4.0,3974115928,2.0999999999999983
13,Left,3,4.0,2724686573,2.2999999999999985
13,Left,4,4.0,1666715702,2.0999999999999983
13,Left,5,4.0,3048574640,2.2999999999999985
13,Left,6,4.0,3323935300,2.0999999999999983
13,Left,7,4.0,324382180,1.8999999999999981
13,Left,8,4.0,2221250509,2.0999999999999983
13,Left,9,4.0,3640890228,1.5999999999999979
13,Left,10,4.0,1266430697,1.699999999999998
